index,frequency_hz,wavelength_m,classification,cortical_regions,activities,frequency_11_decimal,wavelength_11_decimal
29,0.51506062438,582052760.023876,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51506062438,582052760.023876
30,0.51560681389,581436183.393724,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51560681389,581436183.393724
31,0.51615358259,580820259.922784,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51615358259,580820259.922784
32,0.51670093111,580204988.90136,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51670093111,580204988.90136
33,0.51724886006,579590369.643781,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51724886006,579590369.643781
34,0.51779737005,578976401.465792,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51779737005,578976401.465792
35,0.5183464617,578363083.673385,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5183464617,578363083.673385
36,0.51889613563,577750415.574048,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51889613563,577750415.574048
37,0.51944639246,577138396.476756,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51944639246,577138396.476756
38,0.51999723279,576527025.714136,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51999723279,576527025.714136
39,0.52054865726,575916302.575845,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52054865726,575916302.575845
40,0.52110066648,575306226.38631,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52110066648,575306226.38631
41,0.52165326108,574696796.449288,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52165326108,574696796.449288
42,0.52220644166,574088012.103056,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52220644166,574088012.103056
43,0.52276020886,573479872.643266,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52276020886,573479872.643266
44,0.52331456329,572872377.400029,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52331456329,572872377.400029
45,0.52386950558,572265525.682939,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52386950558,572265525.682939
46,0.52442503635,571659316.814004,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52442503635,571659316.814004
47,0.52498115623,571053750.105761,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52498115623,571053750.105761
48,0.52553786584,570448824.8831,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52553786584,570448824.8831
49,0.5260951658,569844540.472301,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5260951658,569844540.472301
50,0.52665305674,569240896.190227,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52665305674,569240896.190227
51,0.5272115393,568637891.344424,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5272115393,568637891.344424
52,0.52777061409,568035525.276284,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52777061409,568035525.276284
53,0.52833028174,567433797.30699,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52833028174,567433797.30699
54,0.52889054288,566832706.759175,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52889054288,566832706.759175
55,0.52945139815,566232252.946219,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.52945139815,566232252.946219
56,0.53001284817,565632435.204368,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53001284817,565632435.204368
57,0.53057489357,565033252.860555,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53057489357,565033252.860555
58,0.53113753499,564434705.232505,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53113753499,564434705.232505
59,0.53170077305,563836791.660651,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53170077305,563836791.660651
60,0.53226460839,563239511.465577,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53226460839,563239511.465577
61,0.53282904164,562642863.979909,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53282904164,562642863.979909
62,0.53339407344,562046848.527129,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53339407344,562046848.527129
63,0.53395970442,561451464.4427,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53395970442,561451464.4427
64,0.53452593521,560856711.063459,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53452593521,560856711.063459
65,0.53509276646,560262587.706669,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53509276646,560262587.706669
66,0.5356601988,559669093.712027,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5356601988,559669093.712027
67,0.53622823286,559076228.420578,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53622823286,559076228.420578
68,0.53679686929,558483991.153905,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53679686929,558483991.153905
69,0.53736610872,557892381.255867,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53736610872,557892381.255867
70,0.53793595179,557301398.061294,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53793595179,557301398.061294
71,0.53850639915,556711040.896087,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53850639915,556711040.896087
72,0.53907745143,556121309.108267,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53907745143,556121309.108267
73,0.53964910927,555532202.036873,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.53964910927,555532202.036873
74,0.54022137333,554943719.001781,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54022137333,554943719.001781
75,0.54079424423,554355859.36543,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54079424423,554355859.36543
76,0.54136772262,553768622.460767,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54136772262,553768622.460767
77,0.54194180916,553182007.611985,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54194180916,553182007.611985
78,0.54251650448,552596014.175366,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54251650448,552596014.175366
79,0.54309180922,552010641.498292,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54309180922,552010641.498292
80,0.54366772404,551425888.909202,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54366772404,551425888.909202
81,0.54424424958,550841755.75829,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54424424958,550841755.75829
82,0.54482138649,550258241.386973,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54482138649,550258241.386973
83,0.54539913542,549675345.138082,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54539913542,549675345.138082
84,0.54597749702,549093066.355843,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54597749702,549093066.355843
85,0.54655647193,548511404.395914,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54655647193,548511404.395914
86,0.5471360608,547930358.605236,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5471360608,547930358.605236
87,0.5477162643,547349928.312143,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5477162643,547349928.312143
88,0.54829708306,546770112.8864,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54829708306,546770112.8864
89,0.54887851775,546190911.659158,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54887851775,546190911.659158
90,0.54946056901,545612323.992887,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.54946056901,545612323.992887
91,0.5500432375,545034349.2315,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5500432375,545034349.2315
92,0.55062652388,544456986.72034,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55062652388,544456986.72034
93,0.55121042879,543880235.825899,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55121042879,543880235.825899
94,0.5517949529,543304095.886376,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5517949529,543304095.886376
95,0.55238009685,542728566.270934,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55238009685,542728566.270934
96,0.55296586132,542153646.310745,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55296586132,542153646.310745
97,0.55355224695,541579335.377676,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55355224695,541579335.377676
98,0.55413925441,541005632.815516,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55413925441,541005632.815516
99,0.55472688436,540432537.979256,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55472688436,540432537.979256
100,0.55531513744,539860050.244698,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55531513744,539860050.244698
101,0.55590401434,539288168.940334,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55590401434,539288168.940334
102,0.5564935157,538716893.444658,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5564935157,538716893.444658
103,0.55708364219,538146223.108364,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55708364219,538146223.108364
104,0.55767439447,537576157.293209,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55767439447,537576157.293209
105,0.55826577321,537006695.352661,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55826577321,537006695.352661
106,0.55885777906,536437836.66079,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55885777906,536437836.66079
107,0.55945041271,535869580.55459,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.55945041271,535869580.55459
108,0.5600436748,535301926.4204,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5600436748,535301926.4204
109,0.56063756601,534734873.607547,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56063756601,534734873.607547
110,0.56123208701,534168421.476334,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56123208701,534168421.476334
111,0.56182723845,533602569.407428,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56182723845,533602569.407428
112,0.56242302102,533037316.744791,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56242302102,533037316.744791
113,0.56301943538,532472662.862269,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56301943538,532472662.862269
114,0.5636164822,531908607.125542,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5636164822,531908607.125542
115,0.56421416215,531345148.90163,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56421416215,531345148.90163
116,0.5648124759,530782287.558886,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5648124759,530782287.558886
117,0.56541142412,530220022.466991,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56541142412,530220022.466991
118,0.56601100749,529658352.98759,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56601100749,529658352.98759
119,0.56661122669,529097278.483718,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56661122669,529097278.483718
120,0.56721208238,528536798.338432,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56721208238,528536798.338432
121,0.56781357523,527976911.92671,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56781357523,527976911.92671
122,0.56841570594,527417618.596987,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56841570594,527417618.596987
123,0.56901847516,526858917.745514,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56901847516,526858917.745514
124,0.56962188359,526300808.723464,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.56962188359,526300808.723464
125,0.57022593189,525743290.920399,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57022593189,525743290.920399
126,0.57083062074,525186363.708664,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57083062074,525186363.708664
127,0.57143595083,524630026.452758,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57143595083,524630026.452758
128,0.57204192284,524074278.52775,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57204192284,524074278.52775
129,0.57264853744,523519119.319171,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57264853744,523519119.319171
130,0.57325579532,522964548.195542,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57325579532,522964548.195542
131,0.57386369715,522410564.544978,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57386369715,522410564.544978
132,0.57447224363,521857167.729564,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57447224363,521857167.729564
133,0.57508143543,521304357.140027,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57508143543,521304357.140027
134,0.57569127325,520752132.141166,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57569127325,520752132.141166
135,0.57630175776,520200492.126294,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57630175776,520200492.126294
136,0.57691288964,519649436.480911,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57691288964,519649436.480911
137,0.5775246696,519098964.56482,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5775246696,519098964.56482
138,0.57813709831,518549075.775189,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57813709831,518549075.775189
139,0.57875017646,517999769.492459,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57875017646,517999769.492459
140,0.57936390474,517451045.098395,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57936390474,517451045.098395
141,0.57997828385,516902901.967163,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.57997828385,516902901.967163
142,0.58059331446,516355339.500993,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58059331446,516355339.500993
143,0.58120899728,515808357.067765,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58120899728,515808357.067765
144,0.58182533299,515261954.063373,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58182533299,515261954.063373
145,0.58244232228,514716129.876083,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58244232228,514716129.876083
146,0.58305996585,514170883.886625,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58305996585,514170883.886625
147,0.5836782644,513626215.477076,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5836782644,513626215.477076
148,0.58429721861,513082124.048415,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58429721861,513082124.048415
149,0.58491682918,512538608.985284,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58491682918,512538608.985284
150,0.58553709681,511995669.673649,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58553709681,511995669.673649
151,0.5861580222,511453305.500798,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5861580222,511453305.500798
152,0.58677960604,510911515.864039,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58677960604,510911515.864039
153,0.58740184903,510370300.153224,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58740184903,510370300.153224
154,0.58802475187,509829657.759505,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58802475187,509829657.759505
155,0.58864831526,509289588.075326,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58864831526,509289588.075326
156,0.5892725399,508750090.494417,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5892725399,508750090.494417
157,0.58989742649,508211164.411788,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.58989742649,508211164.411788
158,0.59052297573,507672809.22372,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59052297573,507672809.22372
159,0.59114918833,507135024.319183,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59114918833,507135024.319183
160,0.59177606499,506597809.097037,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59177606499,506597809.097037
161,0.59240360641,506061162.957396,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59240360641,506061162.957396
162,0.5930318133,505525085.293093,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5930318133,505525085.293093
163,0.59366068636,504989575.50678,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59366068636,504989575.50678
164,0.5942902263,504454632.993852,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5942902263,504454632.993852
165,0.59492043384,503920257.142533,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59492043384,503920257.142533
166,0.59555130966,503386447.376216,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59555130966,503386447.376216
167,0.5961828545,502853203.068757,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5961828545,502853203.068757
168,0.59681506904,502320523.646006,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59681506904,502320523.646006
169,0.59744795401,501788408.492871,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59744795401,501788408.492871
170,0.59808151011,501256857.020813,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59808151011,501256857.020813
171,0.59871573807,500725868.617386,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59871573807,500725868.617386
172,0.59935063858,500195442.704921,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59935063858,500195442.704921
173,0.59998621236,499665578.681865,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.59998621236,499665578.681865
174,0.60062246012,499136275.956286,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.60062246012,499136275.956286
175,0.60125938259,498607533.920895,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.60125938259,498607533.920895
176,0.60189698048,498079351.986318,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.60189698048,498079351.986318
177,0.6025352545,497551729.564398,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.6025352545,497551729.564398
178,0.60317420536,497024666.06819,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.60317420536,497024666.06819
